word,arti,contoh,bahasa
SOLIS,penyanyi tunggal (yang bernyanyi seorang diri),ia bertindak sebagai -- pada pergelaran orkes simfoni itu,
SOLOK,sumbangan,,
SOLOR,suku bangsa yang mendiami Pulau Solor di Provinsi Nusa Tenggara Timur,,
SOLOT,gemas,,Melayu Jakarta
SOLUM,bagian atas tanah yang sebagian besar telah mengalami pelapukan,,Geografi dan Geologi
SOMAH,keluarga,penduduknya cuma sekitar 500 kepala -- atau kira-kira 2.200 jiwa,Jawa
SOMAY,→ siomai,,
SOMEN,"mi putih yang halus dan tipis, biasa disajikan dingin dengan saus cocol",,Jepang
SONAR,"peranti untuk mengamati (mendeteksi, menyidik) keberadaan dan lokasi benda di bawah permukaan laut dengan menggunakan gelombang suara yang dikirim dari peranti itu dan dipantulkan kembali oleh benda (objek) yang diamati",,Pelayaran
SONDE,peralatan yang dapat diletakkan di dalam tanah atau dibawa ke atmosfer atas dengan roket atau balon udara untuk mengamati keadaan cuaca,,Meteorologi
SONIK,berkaitan dengan bunyi,,
SONOR,merdu,,
SONTA,biji hitam dari buah aren,,Kulisusu
SOPAK,penyakit kulit berupa belang-belang putih di tangan atau kaki,,
SOPAL,kuda yang berwarna hitam atau merah tetapi berkaki putih,,Sunda
SOPAN,"hormat dan takzim (akan, kepada)",dengan -- ia mempersilakan tamunya duduk,
SOPEK,jenis perahu penangkap ikan yang digunakan di daerah pantai utara Jawa Tengah,,Pelayaran
SOPIR,pengemudi mobil (bemo dan sebagainya),,
SORAK,suara teriak dan pekik (tanda gembira atau senang),,
SOREK,bambu (biasa dibuat tali),,
SOREN,cari: tersoren,,prakategorial
SORGA,→ surga,,
SOROG,kayu panjang untuk menjolok buah dan sebagainya,,Jawa
SOROK,→ pintu,,
SOROT,sinar,-- lampu senter,
SORUS,tempat berkumpulnya sporangium,,Botani
SOSAK,belahan bambu atau pelepah kelapa kering yang disisipkan di antara pagar persemaian padi agar ayam tidak masuk,,Melayu Riau
SOSEK,sosial-ekonomi,,akronim
SOSIN,caisim,,
SOSIS,daging cincang yang dibumbui dikemas dalam selaput sehingga berbentuk silinder panjang,,
SOSOH,menyosoh,,
SOSOK,lubang (pada jerat dan sebagainya),,
SOSOR,serang,,
SOSOT,menyeka dengan keras,,Melayu Jakarta
SOTIS,kain tenun tradisional Nusa Tenggara Timur,,
SOTOH,"atap rumah yang rata, dibuat dari tembok batu (seperti rumah-rumah di Saudi Arabia)",,
SOTOR,→ sotoh,,
SOUGB,Manikion,,
SOWAN,"menghadap (kepada orang yang dianggap harus dihormati, seperti raja, guru, atasan, orang tua)",,Jawa
SOYAK,koyak,,
SPADA,siapa ada (di rumah),,Partikel
SPASI,jarak (antara huruf cetak atau antara baris tulisan),,
SPESI,"campuran dari bahan pengikat (semen, kapur, dan sebagainya), pasir, dan air",,
SPINA,tulang belakang,,Kedokteran dan Fisiologi
SPION,"orang yang berusaha mendapatkan keterangan secara rahasia, terutama rahasia militer negara lain",,
SPONS,bunga karang,,
SPORA,"alat perbanyakan yang terdiri atas satu atau beberapa sel yang dihasilkan dengan berbagai cara pada tumbuhan rendah, Cryptogamae, berukuran sangat halus, mudah tersebar oleh angin, air, binatang dan sebagainya, dan dapat tumbuh langsung pada kapang (bakteri dan sebagainya) atau tidak langsung pada paku-pakuan menjadi individu baru",,Biologi
SPORT,olahraga,untuk memelihara kesehatan jasmani dan rohani setiap orang perlu --,Cakapan
SPUIT,alat suntik,,Kedokteran dan Fisiologi
SRITI,burung kecil berbulu hitam yang tahan terbang lama dan dapat menyambar,,
STABO,pemindahan pasukan secara cepat,perayaan hari itu akan dimeriahkan dengan demo -- oleh pasukan Kopassus,Kemiliteran
STAFF,→ staf,,
STAIN,Sekolah Tinggi Agama Islam Negeri,,singkatan
START,memulai (melakukan sesuatu),jarak garis -- dengan garis finis lebih kurang 500 m,
STASI,wilayah keuskupan satu tingkat di bawah paroki,,Agama Katolik
STEIK,"daging (sapi, babi, ikan, ayam) yang dipotong lebar kurang lebih sebesar telapak tangan, tebal 1,5 cm, dibumbui lada dan garam atau bumbu lainnya, lalu dipanggang dengan mentega sekadarnya",,
STELA,batu yang diukir atau pilar sebagai peringatan suatu peristiwa,,
STELE,"teras atau tabung tengah batang dan akar tumbuhan berpembuluh, terdiri atas jaringan pembuluh, jaringan dasar, dan perisiklus",,
STEMA,silsilah yang menggambarkan asal-usul naskah,,Sastra
STENO,"lambang huruf yang dipendekkan dan disepakati pemakaiannya, terutama dalam bidang kesekretariatan dengan maksud agar dapat menulis cepat untuk kemudian ditransliterasikan secara lengkap dalam bentuk surat dan sebagainya",,
STEPA,tanah datar yang luas dan kering yang di sana sini hanya dapat ditumbuhi belukar,,
STILB,satuan serian luminans yang sama dengan satu kandela per sentimenter persegi,,Fisika
STKIP,sekolah tinggi keguruan dan ilmu pendidikan,,singkatan
STOLA,"syal atau selendang panjang dan lebar yang terbuat dari benang halus, bulu, atau kain lembut yang dililitkan pada bahu dan leher",,
STOMA,"lubang buatan, biasanya permanen, pada usus besar yang melalui dinding tubuh untuk mengeluarkan kotoran (tinja) akibat gangguan yang dialami kolon atau dubur",,Kedokteran dan Fisiologi
STORI,dongeng,,Cakapan
STPDN,Sekolah Tinggi Pemerintahan Dalam Negeri,,singkatan
STRES,gangguan atau kekacauan mental dan emosional yang disebabkan oleh faktor luar,,Kedokteran dan Fisiologi
STRIP,"penyakit tumbuhan yang ditandai dengan gejala perubahan warna berbentuk garis panjang-panjang tidak menentu, yang umumnya menyerang batang atau daun yang penulangannya sejajar",,Botani
STROK,"serangan otak, biasanya disertai dengan kelumpuhan",,
STRUK,→ setruk,,
STTAL,Sekolah Tinggi Teknologi Angkatan Laut,,singkatan
STUDI,penelitian ilmiah,ia melakukan -- tentang suku-suku terasing di Indonesia,
STUKO,plester (bahan salutan) bermutu tinggi untuk dinding dan pembuatan hiasan timbul,,
STUPA,"bangunan dari batu yang bentuknya seperti genta, biasanya merupakan bangunan suci agama Buddha (tempat menyimpan relik atau benda-benda suci Buddha)",-- di puncak Candi Borobudur itu masih bagus meskipun sudah tua,
SUABO,bahasa yang dituturkan oleh suku Inanwatan di Papua,,
SUAKA,tempat mengungsi (berlindung),ia minta -- kepada negara lain,
SUAMI,pria yang menikah dengan wanita secara sah,,
SUANG,mudah,-- pecah,
SUARA,"bunyi yang dikeluarkan dari mulut manusia (seperti pada waktu bercakap-cakap, menyanyi, tertawa, dan menangis)",penyanyi itu merdu --nya,
SUARI,→ kasuari,,
SUASA,logam campuran emas dengan tembaga,,
SUATU,satu,-- pun tidak,Numeralia
SUBAK,sistem pengairan teratur yang diselenggarakan oleh rakyat di Bali,,
SUBAL,kurang baik buatannya,pukat --,
SUBAM,suram,,Arkais
SUBAN,serpih kayu,,
SUBEI,bengkak bernanah di sisi jempol kaki antara daging dan kuku,,Melayu Riau
SUBUH,waktu antara terbit fajar dan menjelang terbit matahari,,
SUBUR,dapat tumbuh dengan baik (lekas besar),tanam-tanaman di lereng gunung itu tampak --,
SUDAH,telah jadi,"setelah --, kirimkan lekas-lekas baju itu",Adverbia
SUDAK,umbi-umbian liar,,
SUDAN,"negara yang terletak di Afrika Timur Laut, beribu kota Khartoum",,
SUDET,menyudet,,
SUDIP,"sendok seperti sudu, bertangkai panjang (untuk mengarau nasi, membalik-balikkan barang yang digoreng, dan sebagainya)",,
SUDRA,"satu dari empat golongan dalam catur warna, yaitu golongan petani, pekerja, penyedia jasa dan tenaga, serta rakyat biasa",,
SUDUH,"tusuk dengan ujung benda tumpul (ujung jari, ujung patahan ranting, dan sebagainya)",coba -- adonan kue itu dengan ujung jarimu,Minahasa Tonsawang
SUDUK,tikam,,Jawa
SUDUR,→ sodor (1),,
SUDUT,penjuru,-- bilik,
SUFAH,→ ahli (2),,
SUFAL,takik pada busur,,Klasik
SUFEL,"hidangan ringan yang terbuat dari telur dan krim yang dikocok, diberi gula atau garam, dipanggang hingga kembang, dan dimakan pada saat masih hangat",,Tata Boga
SUGAR,menyugar,,
SUGIH,kaya,,Jawa
SUGRA,→ kiamat,,
SUGUH,menyuguhi,,Jawa
SUGUL,masygul,,Cakapan
SUGUN,menyugun,,
SUHAD,tidak dapat tidur,,Klasik
SUHUF,"kitab Allah Swt. yang diturunkan kepada para nabi dan rasul-Nya, merupakan dasar atau nasihat secara umum",,Arab
SUHUN,→ sekar (1),,
SUITE,kelompok kamar dalam hotel yang merupakan satu satuan,,Ungkapan
SUJAU,→ Dayak Sujau,,
SUJEN,sepotong lidi (bilah bambu dan sebagainya) sebagai pencocok satai dan sebagainya,,Jawa
SUJUD,berlutut serta meletakkan dahi ke lantai (misalnya pada waktu salat) sambil membaca tasbih,,
SUKAK,tertusuk tulang dan sebagainya pada kerongkongan,,Bali
SUKAN,"tumbuhan perdu, daunnya tebal berbentuk jantung dan beraroma, digunakan sebagai obat luka, dapat pula sebagai sayur, terutama untuk dimakan oleh wanita sehabis bersalin",,
SUKAR,sulit dipecahkan atau diselesaikan,hitungan ini -- benar,
SUKAT,takaran yang isinya empat gantang,beras lima --,
SUKET,rumput,,Jawa
SUKMA,jiwa,,
SUKRA,hari ke-6 dalam jangka waktu satu minggu,,Bali
SUKUK,obligasi berbasis syariah,,
SUKUN,tidak bergigi (tentang gusi),,Jawa
SUKUR,→ syukur,,
SULAH,sedikit berambut (berbulu),ayam --,
SULAM,bordir,,
SULAP,pertunjukan berbuat sesuatu yang menakjubkan (seperti saputangan diubah menjadi burung merpati),,
SULBI,tulang rusuk,,Arab
SULIH,ganti,,
SULIT,sukar sekali,pekerjaan yang -- diselesaikan,
SULUB,→ sulbi,,
SULUH,barang yang dipakai untuk menerangi (biasa dibuat dari daun kelapa yang kering),,
SULUK,jalan ke arah kesempurnaan batin,ilmu --,
SULUP,→ selup,,
SULUR,julai (dari tumbuhan yang menjalar dan sebagainya),,
SULUT,sundut,,
SUMAH,suka menceritakan kelebihan atau kehebatan diri sendiri kepada orang lain agar mendapat simpati,kita harus menjauhkan diri dari sifat ria dan --,Arab
SUMAN,lemang yang terbuat dari sagu,,Melayu Riau
SUMBA,nama zat pewarna merah yang dipakai untuk mewarnai kue dan sebagainya,,
SUMBI,tongkat peregang kain pada perkakas tenun (biasanya dibuat dari batang nibung),,
SUMBU,"benang (kapas dan sebagainya) yang berfungsi sebagai jalan peresapan minyak dan sebagainya ke bagian yang disulut (tentang lampu, kompor, dan sebagainya)",-- pelita,
SUMEH,murah senyum kepada setiap orang,,Jawa
SUMIR,singkat (tentang sidang pengadilan seperti ketika menyidangkan pelanggaran lalu lintas),ikhtisar yang --,
SUMPA,tempat menyimpan beras yang terbuat dari tanah liat,,Kaili
SUMUR,"sumber air buatan, dengan cara menggali tanah",-- bor,
SUMUT,Sumatra Utara,,akronim
SUNAH,jalan yang biasa ditempuh,,
SUNAM,menyunam,,
SUNAN,sebutan raja untuk keraton Surakarta (di Jawa),,
SUNAT,berpotong kulup,,
SUNDA,suku bangsa yang mendiami daerah Jawa Barat,,
SUNGA,rendam kepala di air dengan posisi badan telentang agar rambut basah dan rapi seperti disisir ke belakang,ia -- beberapa kali setelah menggosok sabun di tubuhnya ketika mandi di sungai,Dayak
SUNGU,tanduk,,Jawa
SUNTI,"tanaman umbi-umbian yang dapat dibuat obat atau rempah-rempah, dan sebagainya",,
SUNYI,tidak ada bunyi atau suara apa pun,malam yang --,
SUOLO,orang yang tidak memiliki keturunan karena tidak menikah,,Sahu
SUPAI,→ sipahi,,
SUPEL,pandai menyesuaikan diri,paman memang -- dalam pergaulan,
SUPER,lebih dari yang lain,manusia --,
SUPIR,→ sopir,,
SUPIT,→ sumpit (4),,
SURAH,bagian atau bab dalam Al-Qur'an (kitab suci Al-Qur'an mempunyai 114 surah),-- Al-Fatihah,Arab
SURAI,rambut (kepala),,Hormat
SURAM,kurang terang (tentang cahaya),bulan pun -- seakan-akan ikut bersedih,
SURAT,kertas dan sebagainya yang bertulis (berbagai-bagai isi maksudnya),ia menerima -- dari ayahnya,
SURAU,"tempat (rumah) umat Islam melakukan ibadatnya (mengerjakan salat, mengaji, dan sebagainya)",,
SUREK,surat berisi kisah atau ajaran,,
SUREL,surat elektronik,,akronim
SUREN,surian1,,
SURGA,alam akhirat yang membahagiakan roh manusia yang hendak tinggal di dalamnya (dalam keabadian),,
SURIH,gores,,Minangkabau
SURIS,→ surih,,
SURUH,perintah (supaya melakukan sesuatu),,
SURUK,masuk dengan merangkak atau membungkuk,,
SURUP,patut,warna baju dan kerudung gadis itu -- benar,
SURUT,mundur,berlaku -- dari bulan April,
SURYA,matahari,,
SUSAH,"rasa tidak senang (karena sukar, sulit, berat, dan sebagainya)",-- benar memenuhi permintaannya,
SUSUH,duri yang besar (pada tumbuhan),,
SUSUK,penyemat (dari kayu dan sebagainya),,
SUSUL,menyusul,,
SUSUN,kelompok atau kumpulan yang tidak berapa banyak,dia mengikat dua -- pakaian bekas untuk fakir miskin,
SUSUP,menyusup,,
SUSUR,pinggir atau tepi sebelah luar,-- bantal itu semua berenda,
SUSUT,menjadi berkurang,modalnya -- karena banyak utang,
SUSYI,"makanan khas Jepang dengan dua bahan utama, yaitu nasi yang dicampur cuka dan makanan laut seperti udang, kepiting, dan ikan",,
SUTAN,kata sapaan adat kepada kaum bangsawan,orang tuanya keturunan --,Minangkabau
SUTEN,cari: bersuten,,prakategorial
SUTET,saluran udara tegangan ekstra tinggi,,akronim
SUTIL,sudip,,Jawa
SUTRA,benang halus dan lembut yang berasal dari kepompong ulat sutra,kain --,
SUWEG,"terna berumbi dan berbatang semu, daunnya bercuping rangkap, bunganya seperti bunga bangkai pendek, tumbuh di bioma tropis kering musiman, biasanya dimanfaatkan untuk makanan",,
SUWIR,sobek panjang,,
SWAZI,bahasa yang dituturkan di Afrika Selatan,,
SWIKE,masakan yang dibuat dari daging katak hijau,,Cina
SYAIR,pesyair,,Arkais
SYALA,pohon jenis Artocarpus,,Sanskerta
SYEIR,jenis gandum,,
SYEKH,kata sapaan kepada orang Arab (terutama orang Arab keturunan sahabat Nabi),,
SYETI,pelepas uang,rumah dan sawah peninggalan orang tuanya telah habis dijual karena terjerat tipuan --,
SYIAR,kemuliaan,suara azan pada tiap-tiap waktu salat menandakan -- Islam,Arab
SYIWA,salah satu dewa Trimurti yang berperan sebagai dewa perusak,,Agama Hindu
SYOYU,"kecap khas Jepang yang murni terbuat dari fermentasi kedelai, memiliki rasa sedikit asin dan rasa kedelai yang kuat, biasanya digunakan sebagai cocolan makanan seperti susyi dan sasyimi",,
SYURA,nasihat,majelis --,Arab
TAALA,Mahatinggi (biasa disebutkan sesudah menyebut nama Allah),Allah -- Allah Mahatinggi,Agama Islam
TABAH,→ tebah,,
TABAK,talam besar tempat menghidangkan makanan,,
TABAL,tabuh (beduk) yang dipalu ketika meresmikan penobatan raja,,Klasik
TABAN,pohon yang menghasilkan getah perca,,
TABAT,"jajaran kayu galam yang di sela-selanya diisi tumpukan karung berisi tanah mineral dan dipasang melintang serupa bendungan mini sehingga menghalangi laju air kanal, untuk menjaga permukaan air tanah di sekitar lahan gambut",,
TABEL,"daftar berisi ikhtisar sejumlah (besar) data informasi, biasanya berupa kata-kata dan bilangan yang tersusun secara bersistem, urut ke bawah dalam lajur dan deret tertentu dengan garis pembatas sehingga dapat dengan mudah disimak",,
TABER,"tarian khas dari Bangka, merupakan perpaduan antara gerak dan seni suara (syair dan pantun) yang diiringi musik rebana dan gendang",,
TABIA,gendang kecil,,
TABIB,"orang yang pekerjaannya mengobati orang sakit secara tradisional, seperti dukun",,
TABII,"menurut sifat (pembawaan, kodrat) yang asli",ilmu -- fisika,Arab
TABIK,(ungkapan untuk memberi) salam,,Minangkabau
TABIR,tirai penyekat (pendinding) atau penutup dinding,-- itu memisahkan ruang kaum wanita dengan ruang kaum pria,
TABLA,"alat musik pukul berupa dua gendang kecil, satu berbentuk silinder dan satu lagi berbentuk mangkuk, dimainkan dengan cara diketuk dengan jari",,Musik
TABLO,pertunjukan lakon tanpa gerak atau tanpa dialog,,
TABOK,menabok,,
TABOT,→ tabut,,
TABUH,gendang raya,memukul -- sambil bertakbir,
TABUN,menabun,,
TABUR,menabur,,
TABUT,peti yang dibuat dari anyaman bambu atau burung-burungan burak yang terbuat dari kayu yang dibawa berarak pada peringatan terbunuhnya Hasan-Husen (tanggal 10 Muharam),,
TADAH,barang untuk menampung sesuatu,,
TADIR,dinding dari bambu yang dianyam,,Minangkabau
TADUT,"sastra lisan dari daerah Basemah, Sumatra Selatan, berisi ajaran moral dan agama Islam, disampaikan secara turun menurun dan bersifat anonim",,Basemah
TAENA,Makassar,,
TAFIA,minuman yang disuling dari sisa tebu,,Tata Boga
TAGAK,tahan,,
TAGAL,batu-batu besar yang dilemparkan ombak ke tepi pantai pada waktu datang angin ribut dan gelombang besar mengempas ke pantai,orang-orang itu mengangkuti -- dari pantai untuk bahan bangunan,
TAGAN,taruhan (dalam perjudian),,
TAGAR,(bunyi) guruh atau guntur,-- berdegar-degar antara ada dan tidak ada bunyinya,
TAGAS,"bagian sungai, danau, atau pantai yang dangkal",,Toulour
TAGEH,"baung yang sirip lemaknya lebih panjang daripada sirip dubur dan bersambung dengan sirip punggung, sungut rahang atas mencapai pangkal ekor, tersebar di Asia Tenggara",,
TAGEN,perahu yang kuat dan tidak goyang,,Madura
TAGIH,menagih,,
TAGMA,"sederetan ruas berurutan yang membentuk bagian berbeda pada tubuh serangga (kepala, toraks, abdomen)",,Biologi
TAGUT,yang menyuruh orang berbuat jahat,,
TAHAK,serdawa,,Melayu Jakarta
TAHAN,tetap keadaannya (kedudukannya dan sebagainya) meskipun mengalami berbagai-bagai hal,kayu seperti ini tidak -- kena panas matahari,
TAHAP,bagian dari perkembangan (pertumbuhan),rencana pembangunan -- pertama,
TAHAR,menaharkan,,
TAHIL,"satuan ukuran berat 37,8 g",,
TAHIR,bersih,,
TAHTA,→ takhta,,
TAHUN,masa yang lamanya dua belas bulan,ia pernah bekerja di luar negeri selama dua --,
TAICI,"olahraga yang berasal dari Cina, gerakannya khas dengan ritme pelan, lembut, dan lemah gemulai",,
TAIGA,"daerah hutan pohon jarum-jarum di Siberia, terdapat di antara daerah tundra di utara dan stepa di selatan",,
TAIKO,orang (pengusaha) yang memiliki banyak uang,,Cina
TAISO,gerak badan (pada zaman Jepang),,
TAJAK,"cangkul bertangkai lurus untuk mengerjakan sawah, membersihkan rumput, dan sebagainya",,
TAJAM,"bermata tipis, halus, dan mudah mengiris, melukai, dan sebagainya (tentang pisau, pedang, dan sebagainya)",-- seperti pisau cukur,
TAJAP,potong miring (tentang sayuran),wortel itu di-- agar terlihat lebih cantik,Batak
TAJAU,"tempayan besar yang dibuat dari tanah berlapis, seperti porselen",,
TAJEN,sabung ayam,,Bali
TAJIK,bahasa yang dituturkan di Tajikistan,,
TAJIN,air rebusan beras yang agak kental,,
TAJIO,suku bangsa yang mendiami wilayah Provinsi Sulawesi Tengah,,
TAJIR,kaya,jejaring sosial ternama itu kini menjadi salah satu situs paling -- di jagat ini,
TAJUK,mahkota,,
TAJUR,tampak memanjang (menganjur),,
TAKAH,tampan,-- juga kakak memakai dasi,Minangkabau
TAKAK,bertakak,,
TAKAL,"kerek (kapi, katrol) yang bersusun",,
TAKAR,"satuan ukuran isi (sukat, liter, dan sebagainya)",,
TAKAT,cari: setakat,,prakategorial
TAKAW,binatang jadi-jadian,,Banjar
TAKEH,→ tekar takeh,,
TAKEL,→ takal,,
TAKIK,torehan yang agak dalam pada batang pohon untuk memudahkan pijakan orang memanjat,,
TAKIR,wadah atau tempat makanan dari daun pisang dan sebagainya yang disemat dengan lidi pada kedua sisinya,,
TAKMA,jalinan tali (kabel dan sebagainya),,Pelayaran
TAKMU,tarian tradisional Korea pada saat musim tanam (bulan Mei sampai Oktober) yang dilakukan berkelompok dan diikuti semua warga desa,,Kesenian
TAKOL,pukul,,Sunda
TAKSA,mempunyai makna lebih dari satu,,
TAKSI,mobil (biasanya sedan) tambangan,,
TAKSU,"kekuatan gaib yang memberi kecerdasan, keindahan, mukjizat, dan sebagainya",,Bali
TAKUH,takik-takik,,
TAKUK,"takik yang agak dalam (pada pohon nyiur dan sebagainya), tempat tumpuan kaki ketika memanjat",-- takak bermacam-macam takik dan takuk,
TAKUR,tunduk,,
TAKUT,merasa gentar (ngeri) menghadapi sesuatu yang dianggap akan mendatangkan bencana,"anjing ini jinak, engkau tidak perlu --",
TAKWA,terpeliharanya diri dari siksa Allah Swt. dengan tetap taat melaksanakan perintah-Nya dan menjauhi segala larangan-Nya,,Agama Islam
TALAH,cari: bertalah-talah,,prakategorial
TALAI,→ lalai (1),,
TALAK,perceraian antara suami dan istri,,Agama Islam
TALAM,baki yang tidak berkaki,,
TALAR,bertalaran,,
TALAS,"tumbuhan berumbi, daun muda dan tangkai mudanya dapat disayur, umbinya menjadi makanan pokok di Irian",,
TALEK,→ talk,,
TALEN,mata uang (uang logam) bernilai 25 sen (pada zaman Hindia Belanda),,
TALIB,orang yang menuntut kebenaran atau ilmu (seperti orang yang mempelajari agama dengan sungguh-sungguh),,Arab
TALON,butir kertas berharga untuk memperoleh kupon baru (tentang saham),,
TALUM,memasukkan sesuatu ke dalam mulut dalam jumlah besar,,Aceh
TALUN,gaung,,Klasik
TALUS,"tubuh vegetatif tumbuhan rendah yang tidak terbagi atas akar, batang, dan daun",,
TALUT,tempat miring,,
TAMAK,selalu ingin beroleh banyak untuk diri sendiri,ia -- akan harta,
TAMAM,sempurna,,Klasik
TAMAN,kebun yang ditanami dengan bunga-bunga dan sebagainya (tempat bersenang-senang),,
TAMAR,buah kurma,,
TAMAS,"wadah sajen, terbuat dari janur atau daun enau yang muda, berbentuk bundar",,Bali
TAMAT,berakhir,,
TAMBE,"ceret yang terbuat dari bambu, panjangnya 65 cm, berdiameter sekitar 15 cm, bagian atas ceret memiliki moncong",,Batak
TAMBI,panggilan kepada laki-laki Keling yang masih muda (yang artinya adik laki-laki),,
TAMBO,sejarah,,
TAMIL,"suku yang berasal dari India bagian selatan, tersebar juga hingga ke Sri Langka",,
TAMPI,menampi,,
TAMPO,arak keras yang terbuat dari beras berkualitas terbaik,,
TAMRA,prasasti yang ditulis pada logam,,
TAMUK,belanak,,
TANAH,permukaan bumi atau lapisan bumi yang di atas sekali,hujan membasahi --,
TANAI,tatang,"hamba junjung bagai matahari, hamba -- bagai mahkota",
TANAK,menanak,,
TANAM,menanam,,
TANAU,burung yang rupanya seperti burung bayan kecil,,
TANBO,seni melukis di atas media sawah dari Jepang dengan menggunakan berbagai jenis varian padi untuk memperoleh warna yang bermacam-macam,,Kesenian
TANDA,yang menjadi alamat atau yang menyatakan sesuatu,dari kejauhan terdengar sirene -- bahaya,
TANDO,"bajing terbang berukuran besar dan panjang, berwarna cokelat kemerahan, mempunyai selaput peluncur yang membentang dari kaki depan sampai kaki belakang, biasa ditemui di wilayah Jawa, Sumatra, Semenanjung Malaysia (Penang), Pakistan, India utara, dan Afganistan",,
TANDU,"usungan berupa kursi atau rumah-rumahan kecil, terbuat dari terpal dan sebagainya, untuk tempat duduk dan sebagainya, disangga atau digantungkan pada pikulan",,
TANGO,"tarian rakyat Argentina yang kemudian menjadi dansa, dilakukan di ruang dansa dengan irama 4/4",,Kesenian
TANIA,zat dari kulit pohon merbau pantai yang dimanfaatkan sebagai zat warna cokelat untuk kertas dan kain,,
TANIH,tanah padat di bawah tanah atas atau permukaan,,
TANIN,"kumpulan senyawa organik amorf yang bersifat asam dengan rasa sepat, ditemukan dalam banyak tumbuhan, digunakan sebagai bahan penyamak, bahan pembuat tinta, dan bahan pewarna",,Kimia
TANJI,musik rakyat,,
TANJU,lampu dinding,"hari pun malam, -- terpasang",Klasik
TANPA,tidak dengan ...,menghilang -- bekas,Adverbia
TANSI,tali yang dilumas dengan lilin (untuk tali pancing dan sebagainya),,
TANTE,adik atau kakak perempuan ayah atau ibu,,Cakapan
TANTI,"tampal dari kain berbenang emas, yang diletakkan pada sisi baju perempuan atau celana untuk perhiasan",,Minangkabau
TANUR,tempat pembakaran (kapur dan sebagainya),,
TANYA,permintaan keterangan (penjelasan dan sebagainya),,
TAOCI,makanan Cina (selai dari ikan),,
TAOCO,"makanan terbuat dari kedelai, yang setelah direbus dan diawetkan dengan garam, biasanya digunakan sebagai bumbu masakan",,
TAOGE,"kecambah dari kacang-kacangan seperti kacang hijau, kacang kedelai",,
TAOKE,→ tauke,,
TAORI,"suku bangsa yang mendiami wilayah Kabupaten Paniai, Provinsi Papua",,
TAOSI,asinan kedelai,"tumislah bawang bombai, jahe, bawang putih, dan --",
TAPAH,"ikan air tawar yang ukurannya dapat mencapai 150 cm, tubuhnya pipih memanjang, mulut mengarah ke atas (cakil), warnanya kehitaman dengan garis putih dari belakang tutup insang hingga pangkal ekor, tersebar di perairan Indocina, Malaysia, dan Indonesia (Sumatra dan Kalimantan)",,
TAPAI,"penganan yang dibuat dari beras ketan (ubi kayu dan sebagainya) yang direbus dan setelah dingin diberi ragi, kemudian dibiarkan semalam atau lebih hingga manis",,
TAPAK,"bidang kaki sebelah bawah, biasa digunakan untuk menapak",tiga -- bayang-bayang waktu ketika bayang-bayang tiga telapak tangan panjangnya,
TAPAL,obat dalam bentuk cairan kental atau bubur (biasanya dilumaskan pada kulit perut),,
TAPAS,"sabut untuk mencuci peralatan dapur, terbuat dari serat sintetis yang bertekstur kasar",,
TAPIH,kain panjang untuk wanita,,Jawa
TAPIN,taruhan (dalam sepak bola),,
TAPIR,"mamalia berkuku ganjil, berbelalai menonjol yang terbentuk oleh hidung dan bibir atas yang memanjang, bertubuh besar dan kekar, untuk yang dewasa memiliki pola warna bagian depan hitam, bagian samping putih, dan kaki belakang hitam",,
TAPIS,alat yang dibuat dari kain dan sebagainya untuk memisahkan benda cair dari benda padat pencemar atau endapan untuk memisahkan benda padat yang berbeda ukurannya,,
TAPOL,tahanan politik,,akronim
TAPTU,tanda (dengan bunyi trompet dan sebagainya) pada malam hari untuk memanggil prajurit supaya pulang ke asramanya,,
TAPUI,air tapai,,
TAPUK,menapuk,,
TAPUS,pohon yang kayunya baik untuk perkakas rumah,,
TAQWA,→ takwa (1),,
TARAF,tingkat(an),bangsa yang telah tinggi -- peradabannya,
TARAH,"rata (sesudah dirimbas, dipepat, dan sebagainya)",,
TARAK,"penahanan hawa nafsu (pada berpuasa, berpantang, dan sebagainya)",,
TARAM,bulan terang yang berwarna sehingga tampak agak redup,,
TARAN,pijat urut rahim agar cepat melahirkan,,Banjar
TARAP,deret,,Jawa
TARAS,→ teras (1),,
TARIB,atap darurat dari daun kelapa,,Bali
TARIF,harga satuan jasa,,
TARIK,hela,,
TARIP,→ tarif,,
TARIS,"lantai (dari plester, semen, dan sebagainya)",,
TAROF,suku bangsa yang mendiami wilayah pesisir selatan Kepala Burung Provinsi Papua,,
TAROT,"sejumlah kartu yang memuat lambang-lambang gambar yang mewakili unsur api, air, udara, tanah, dan kekuatan spirit alam semesta, digunakan untuk meramal nasib",,
TARRA,→ tara (2),,
TARUB,→ tarup (1),,
TARUH,(uang) taruhan,,
TARUK,"tunas tumbuhan (pohon, rumput)",-- padi,
TARUM,"perdu yang batangnya bulat, daunnya majemuk, anak daunnya berbentuk menjorong dengan lekuk di ujungnya, bunganya berwarna merah muda keunguan, biasanya digunakan sebagai pewarna alami",,
TARUP,yang dipakai sebagai atap untuk sementara (selama upacara berlangsung dan sebagainya),,
TASAI,"pohon kecil, tinggi mencapai 10 m, kayunya menghasilkan arang yang baik kualitasnya",,
TASAK,"obat untuk menghentikan darah yang keluar dari tubuh manusia atau hewan (penawar jampi, daun capa, dan sebagainya)",,
TASEL,jumbai,,Cakapan
TASIK,kawasan air yang luas yang dikelilingi oleh daratan,,
TASKA,tabungan asuransi berjangka,,akronim
